Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days
SH10080,Hyderabad_Warehouse,Chennai,FedEx,2025-09-02,2025-09-04,24.6,426.34,In Transit,358,2
SH10081,Delhi_Warehouse,Jaipur,XpressBees,2025-12-10,2025-12-16,18.6,1055.0,Delayed,2077,6
SH10082,Bengaluru_Warehouse,Nashik,FedEx,2025-06-09,2025-06-12,20.6,334.01,Delivered,274,3
SH10083,Pune_Warehouse,Delhi,DHL,2025-02-28,2025-03-02,25.6,759.77,Delivered,846,2
SH10084,Hyderabad_Warehouse,Nashik,BlueDart,2025-10-31,2025-11-05,9.7,832.5,Delivered,1686,5
SH10085,Ahmedabad_Warehouse,Hyderabad,Ecom Express,2025-08-18,2025-08-19,17.5,255.01,Delivered,371,1
SH10086,Pune_Warehouse,Hyderabad,FedEx,2025-09-13,2025-09-18,62.2,1360.88,Delivered,1656,5
SH10087,Hyderabad_Warehouse,Ahmedabad,Ecom Express,2025-02-05,2025-02-09,23.5,1137.6,Delivered,1846,4
SH10088,Mumbai_Warehouse,Surat,DHL,2025-04-25,2025-04-29,19.0,1035.84,Delivered,1674,4
SH10089,Delhi_Warehouse,Jaipur,Ecom Express,2025-10-08,2025-10-13,13.6,587.45,Delivered,797,5
SH10090,Hyderabad_Warehouse,Jaipur,DHL,2025-10-31,2025-11-02,9.8,270.54,Delivered,98,2
SH10091,Pune_Warehouse,Bengaluru,BlueDart,2025-06-08,2025-06-14,21.1,1196.34,Delivered,2224,6
SH10092,Pune_Warehouse,Jaipur,Delhivery,2025-10-21,2025-10-23,22.0,509.8,Delivered,850,2
SH10093,Delhi_Warehouse,Surat,FedEx,2025-11-04,2025-11-09,16.7,1073.14,Delivered,2023,5
SH10094,Mumbai_Warehouse,Mumbai,Delhivery,2025-05-22,2025-05-25,77.8,999.77,Delivered,534,3
SH10095,Bengaluru_Warehouse,Bengaluru,Ecom Express,2025-11-24,2025-11-27,10.4,349.12,Delivered,448,3
SH10096,Mumbai_Warehouse,Mumbai,Delhivery,2025-04-16,2025-04-20,8.7,965.94,Delivered,1957,4
SH10097,Pune_Warehouse,Nashik,BlueDart,2025-03-29,2025-04-05,13.7,1131.68,Delayed,2353,7
SH10098,Pune_Warehouse,Mumbai,Ecom Express,2025-09-07,2025-09-13,17.0,1076.18,In Transit,2159,6
SH10099,Ahmedabad_Warehouse,Jaipur,Ecom Express,2025-08-21,2025-08-28,9.4,1055.22,Delivered,1891,7
SH10100,Ahmedabad_Warehouse,Chennai,FedEx,2025-02-21,2025-02-23,20.7,633.72,Delayed,654,2
SH10101,Mumbai_Warehouse,Surat,Ecom Express,2025-10-31,2025-11-04,480.0,1229.51,Delivered,2288,4
SH10102,Mumbai_Warehouse,Nashik,XpressBees,2025-03-14,2025-03-18,27.6,1038.2,Delivered,1686,4
SH10103,Hyderabad_Warehouse,Nagpur,Ecom Express,2025-10-21,2025-10-23,12.2,327.57,Delivered,471,2
SH10104,Pune_Warehouse,Delhi,Ecom Express,2025-01-03,2025-01-06,39.4,604.38,Delivered,367,3
SH10105,Bengaluru_Warehouse,Delhi,Ecom Express,2025-10-18,2025-10-22,26.4,1318.88,Delivered,2185,4
SH10106,Ahmedabad_Warehouse,Jaipur,Ecom Express,2025-10-15,2025-10-18,10.3,387.52,In Transit,724,3
SH10107,Mumbai_Warehouse,Nagpur,FedEx,2025-10-12,2025-10-19,9.4,994.75,Delivered,1927,7
SH10108,Ahmedabad_Warehouse,Jaipur,Ecom Express,2025-08-31,2025-09-02,14.4,395.43,Delivered,389,2
SH10109,Mumbai_Warehouse,Pune,FedEx,2025-06-22,2025-06-26,22.3,608.11,Delivered,737,4
SH10110,Pune_Warehouse,Bengaluru,BlueDart,2025-09-15,2025-09-17,24.4,690.23,Delivered,744,2
SH10111,Bengaluru_Warehouse,Delhi,XpressBees,2025-04-12,2025-04-14,26.4,726.34,Delivered,738,2
SH10112,Ahmedabad_Warehouse,Mumbai,FedEx,2025-10-12,2025-10-18,59.7,1289.87,Delivered,1703,6
SH10113,Bengaluru_Warehouse,Mumbai,XpressBees,2025-07-22,2025-07-28,4.2,1114.94,Delivered,2291,6
SH10114,Mumbai_Warehouse,Hyderabad,BlueDart,2025-06-17,2025-06-23,16.3,1181.2,Delayed,2281,6
SH10115,Pune_Warehouse,Pune,FedEx,2025-07-04,2025-07-08,56.6,1310.47,Delivered,1867,4
SH10116,Hyderabad_Warehouse,Nagpur,DHL,2025-07-27,,28.4,565.61,Delivered,546,3
SH10117,Bengaluru_Warehouse,Mumbai,Delhivery,2025-01-14,2025-01-19,8.3,1197.16,Delayed,2404,5
SH10118,Mumbai_Warehouse,Nashik,BlueDart,2025-02-21,2025-02-27,20.0,840.69,Delivered,1378,6
SH10119,Bengaluru_Warehouse,Surat,Delhivery,2025-03-31,2025-04-07,15.7,747.95,Delivered,1388,7
SH10120,Delhi_Warehouse,Nagpur,DHL,2025-02-11,,15.3,927.53,Delivered,1769,6
SH10121,Mumbai_Warehouse,Ahmedabad,FedEx,2025-06-10,2025-06-15,12.0,969.63,Delivered,1935,5
SH10122,Pune_Warehouse,Mumbai,DHL,2025-09-01,2025-09-05,18.9,1196.02,Delivered,2385,4
SH10123,Ahmedabad_Warehouse,Mumbai,FedEx,2025-08-27,2025-08-30,34.9,1014.23,Delivered,1477,3
SH10124,Hyderabad_Warehouse,Kolkata,XpressBees,2025-06-21,2025-06-27,12.8,860.7,Delivered,1545,6
SH10125,Mumbai_Warehouse,Chennai,DHL,2025-11-09,2025-11-14,26.5,1147.46,Delivered,1877,5
SH10126,Mumbai_Warehouse,Surat,Ecom Express,2025-07-26,2025-07-29,29.5,567.08,Delivered,675,3
SH10127,Delhi_Warehouse,Chennai,DHL,2025-01-29,2025-02-02,39.2,719.12,Delivered,804,4
SH10128,Delhi_Warehouse,Mumbai,Delhivery,2025-10-07,2025-10-13,9.2,908.56,Delivered,1583,6
SH10129,Delhi_Warehouse,Chennai,XpressBees,2025-07-29,2025-07-31,17.9,310.04,Delivered,207,2
SH10130,Hyderabad_Warehouse,Hyderabad,BlueDart,2025-08-20,2025-08-23,11.0,525.86,Delivered,835,3
SH10131,Pune_Warehouse,Nagpur,FedEx,2025-07-26,2025-07-31,19.0,991.65,Delivered,1809,5
SH10132,Mumbai_Warehouse,Bengaluru,Delhivery,2025-07-22,2025-07-28,18.9,1328.61,In Transit,2442,6
SH10133,Hyderabad_Warehouse,Nagpur,FedEx,2025-02-03,2025-02-07,7.6,764.71,Delivered,1323,4
SH10134,Ahmedabad_Warehouse,Kolkata,XpressBees,2025-07-24,2025-07-28,19.7,740.86,Delivered,1029,4
SH10135,Pune_Warehouse,Surat,XpressBees,2025-10-18,2025-10-22,620.0,1079.24,Delivered,1129,4
SH10136,Delhi_Warehouse,Ahmedabad,Delhivery,2025-04-21,2025-04-28,24.5,966.45,Delivered,1729,7
SH10137,Bengaluru_Warehouse,Delhi,Delhivery,2025-08-09,2025-08-14,6.4,821.57,Delivered,1384,5
SH10138,Mumbai_Warehouse,Jaipur,Delhivery,2025-01-12,2025-01-15,8.8,246.42,Delayed,106,3
SH10139,Ahmedabad_Warehouse,Hyderabad,Ecom Express,2025-05-07,2025-05-10,17.3,777.75,Delivered,1371,3
SH10140,Pune_Warehouse,Nashik,BlueDart,2025-06-09,2025-06-13,9.0,667.41,Delivered,1030,4
SH10141,Bengaluru_Warehouse,Nagpur,XpressBees,2025-12-25,2025-12-30,37.9,1114.83,Delivered,1767,5
SH10142,Delhi_Warehouse,Mumbai,BlueDart,2025-03-20,2025-03-26,5.8,1128.37,Delayed,2194,6
SH10143,Hyderabad_Warehouse,Bengaluru,DHL,2025-04-11,2025-04-18,24.6,1381.77,Delivered,2408,7
SH10144,Pune_Warehouse,Nagpur,Ecom Express,2025-05-30,2025-06-04,4.9,719.87,Delivered,1545,5
SH10145,Mumbai_Warehouse,Surat,Delhivery,2025-12-29,2026-01-04,17.1,651.31,Delivered,938,6
SH10146,Bengaluru_Warehouse,Jaipur,XpressBees,2025-11-08,2025-11-13,8.0,668.98,Delayed,1138,5
SH10147,Ahmedabad_Warehouse,Surat,BlueDart,2025-01-13,2025-01-17,27.5,660.01,Delivered,482,4
SH10148,Bengaluru_Warehouse,Chennai,BlueDart,2025-03-27,2025-04-03,34.0,1312.23,In Transit,2343,7
SH10149,Hyderabad_Warehouse,Nashik,Delhivery,2025-10-27,2025-11-04,22.2,1240.41,Delayed,2126,8
SH10150,Delhi_Warehouse,Kolkata,BlueDart,2025-01-22,2025-01-27,35.0,1278.51,Delivered,2143,5
SH10151,Mumbai_Warehouse,Bengaluru,Ecom Express,2025-11-09,2025-11-14,2.2,389.1,Delayed,854,5
SH10152,Delhi_Warehouse,Jaipur,BlueDart,2025-04-13,2025-04-15,19.6,592.38,Delivered,839,2
SH10153,Ahmedabad_Warehouse,Nashik,Ecom Express,2025-12-01,2025-12-06,24.4,1190.12,Delivered,2149,5
SH10154,Hyderabad_Warehouse,Ahmedabad,BlueDart,2025-04-18,2025-04-23,26.4,827.44,Delivered,1384,5
SH10155,Hyderabad_Warehouse,Nagpur,FedEx,2025-06-08,2025-06-14,23.5,1043.26,Delayed,1777,6
SH10156,Pune_Warehouse,Kolkata,XpressBees,2025-08-30,2025-09-02,26.8,885.48,Delivered,1250,3
SH10157,Bengaluru_Warehouse,Surat,Delhivery,2025-02-16,2025-02-20,19.4,734.7,Delivered,1135,4
SH10158,Bengaluru_Warehouse,Chennai,Ecom Express,2025-07-23,2025-07-28,6.5,777.03,Delivered,1599,5
SH10159,Bengaluru_Warehouse,Ahmedabad,Delhivery,2025-07-04,2025-07-10,11.9,1030.62,Delivered,2042,6
SH10160,Ahmedabad_Warehouse,Kolkata,BlueDart,2025-10-14,2025-10-18,38.0,767.31,Delayed,868,4
SH10161,Hyderabad_Warehouse,Pune,XpressBees,2025-12-30,2026-01-08,35.4,1246.71,Delivered,2033,9
SH10162,Pune_Warehouse,Surat,BlueDart,2025-08-31,2025-09-03,24.1,618.05,Delivered,648,3
SH10163,Pune_Warehouse,Nashik,XpressBees,2025-05-30,2025-06-02,27.9,767.65,Delayed,1037,3
SH10164,Bengaluru_Warehouse,Bengaluru,BlueDart,2025-05-29,2025-06-03,32.8,1241.77,Delayed,2286,5
SH10165,Ahmedabad_Warehouse,Kolkata,DHL,2025-06-02,2025-06-08,23.9,1255.6,Delivered,2389,6
SH10166,Ahmedabad_Warehouse,Nagpur,DHL,2025-10-25,2025-10-30,37.4,1378.91,Delivered,2314,5
SH10167,Bengaluru_Warehouse,Kolkata,XpressBees,2025-04-28,2025-05-02,36.6,799.01,Delivered,824,4
SH10168,Bengaluru_Warehouse,Nagpur,Delhivery,2025-03-02,2025-03-08,73.4,1664.0,Delivered,2116,6
SH10169,Hyderabad_Warehouse,Jaipur,BlueDart,2025-05-03,2025-05-09,12.3,1266.64,Delivered,2344,6
SH10170,Ahmedabad_Warehouse,Nashik,Ecom Express,2025-01-09,2025-01-17,12.5,1221.17,Delivered,2447,8
SH10171,Mumbai_Warehouse,Surat,Delhivery,2025-02-08,2025-02-09,22.8,358.2,Delayed,101,1
SH10172,Pune_Warehouse,Jaipur,Delhivery,2025-02-02,2025-02-07,54.6,1251.6,Delivered,1875,5
SH10173,Delhi_Warehouse,Nagpur,Ecom Express,2025-10-09,2025-10-16,39.2,1483.9,Delayed,2493,7
SH10174,Bengaluru_Warehouse,Hyderabad,FedEx,2025-09-21,2025-09-27,30.1,1084.79,Delayed,1924,6
SH10175,Pune_Warehouse,Surat,DHL,2025-09-12,2025-09-16,40.9,685.03,Delivered,621,4
SH10176,Pune_Warehouse,Hyderabad,Ecom Express,2025-06-18,2025-06-24,24.7,1262.57,Delivered,1919,6
SH10177,Mumbai_Warehouse,Nashik,DHL,2025-09-19,,14.5,348.89,Delivered,307,3
SH10178,Mumbai_Warehouse,Nashik,Ecom Express,2025-02-28,2025-03-04,63.0,1083.33,Delivered,1227,4
SH10179,Delhi_Warehouse,Nagpur,DHL,2025-11-25,2025-12-01,23.5,967.46,Delivered,1584,6
SH10180,Ahmedabad_Warehouse,Nagpur,FedEx,2025-07-02,2025-07-07,36.1,848.97,Delivered,1168,5
SH10181,Pune_Warehouse,Nashik,Ecom Express,2025-12-09,2025-12-16,2.2,787.16,Delivered,1765,7
SH10182,Pune_Warehouse,Nagpur,Delhivery,2025-02-25,2025-02-26,2.6,485.73,Delivered,638,1
SH10183,Pune_Warehouse,Surat,Ecom Express,2025-07-01,2025-07-05,20.0,953.37,Delivered,1535,4
SH10184,Ahmedabad_Warehouse,Ahmedabad,Delhivery,2025-09-12,2025-09-18,9.0,860.1,Delivered,1630,6
SH10185,Bengaluru_Warehouse,Surat,DHL,2025-06-30,2025-07-03,21.2,911.91,Delivered,1603,3
SH10186,Bengaluru_Warehouse,Pune,XpressBees,2025-06-12,2025-06-16,12.5,,Delivered,759,4
SH10187,Pune_Warehouse,Bengaluru,FedEx,2025-03-02,2025-03-06,80.0,1180.0,In Transit,798,4
SH10188,Ahmedabad_Warehouse,Ahmedabad,DHL,2025-05-20,2025-05-23,34.3,674.43,Delayed,681,3
SH10189,Pune_Warehouse,Bengaluru,XpressBees,2025-03-29,2025-04-02,43.3,774.52,Delayed,1181,4
SH10190,Ahmedabad_Warehouse,Pune,FedEx,2025-04-21,2025-04-25,3.1,863.62,Delivered,1486,4
SH10191,Ahmedabad_Warehouse,Hyderabad,Delhivery,2025-09-07,2025-09-10,29.9,738.18,Delivered,938,3
SH10192,Bengaluru_Warehouse,Bengaluru,BlueDart,2025-08-19,2025-08-22,15.7,675.02,Delivered,1054,3
SH10193,Ahmedabad_Warehouse,Nashik,Ecom Express,2025-08-10,2025-08-13,43.9,828.34,Delivered,751,3
SH10194,Ahmedabad_Warehouse,Bengaluru,DHL,2025-05-13,2025-05-15,27.2,,Delivered,586,2
SH10195,Bengaluru_Warehouse,Hyderabad,DHL,2025-12-17,2025-12-22,17.3,965.75,Delayed,1661,5
SH10196,Hyderabad_Warehouse,Kolkata,BlueDart,2025-02-01,2025-02-07,7.0,977.2,Delivered,2050,6
SH10197,Bengaluru_Warehouse,Hyderabad,BlueDart,2025-05-06,2025-05-11,19.7,499.85,Delivered,762,5
SH10198,Bengaluru_Warehouse,Bengaluru,Ecom Express,2025-02-13,2025-02-19,37.5,1320.94,In Transit,2159,6
SH10199,Delhi_Warehouse,Bengaluru,Delhivery,2025-05-04,2025-05-09,45.4,1153.22,Delivered,1449,5
SH10200,Bengaluru_Warehouse,Jaipur,DHL,2025-12-18,2025-12-20,13.8,355.29,Delivered,461,2
SH10201,Pune_Warehouse,Delhi,XpressBees,2025-05-14,2025-05-17,72.1,1050.55,Delayed,947,3
SH10202,Pune_Warehouse,Kolkata,BlueDart,2025-11-28,2025-11-29,35.7,479.17,Delivered,68,1
SH10203,Pune_Warehouse,Hyderabad,XpressBees,2025-06-30,2025-07-01,9.1,193.52,Delivered,146,1
SH10204,Mumbai_Warehouse,Hyderabad,XpressBees,2025-09-13,2025-09-15,7.6,488.68,Delivered,873,2
SH10205,Ahmedabad_Warehouse,Mumbai,DHL,2025-06-16,2025-06-20,16.4,687.34,Delayed,1163,4
SH10206,Pune_Warehouse,Kolkata,Delhivery,2025-04-08,2025-04-15,13.8,1035.41,Delivered,2004,7
SH10207,Hyderabad_Warehouse,Hyderabad,BlueDart,2025-10-06,2025-10-07,24.8,363.43,Delivered,379,1
SH10208,Delhi_Warehouse,Pune,BlueDart,2025-12-20,2025-12-25,18.3,1090.41,Delivered,2106,5
SH10209,Delhi_Warehouse,Nashik,FedEx,2025-04-07,2025-04-09,14.7,479.7,Delivered,624,2
SH10210,Pune_Warehouse,Bengaluru,Delhivery,2025-10-12,2025-10-14,5.1,299.01,Delayed,389,2
SH10211,Hyderabad_Warehouse,Chennai,BlueDart,2025-04-06,2025-04-12,27.7,1120.44,Delivered,1765,6
SH10212,Bengaluru_Warehouse,Pune,FedEx,2025-09-19,2025-09-24,4.8,1039.71,Delivered,1947,5
SH10213,Delhi_Warehouse,Pune,FedEx,2025-10-15,2025-10-20,35.7,1110.08,Delivered,1532,5
SH10214,Bengaluru_Warehouse,Ahmedabad,DHL,2025-06-14,2025-06-18,3.4,299.07,Delivered,333,4
SH10215,Hyderabad_Warehouse,Hyderabad,XpressBees,2025-09-26,2025-09-29,4.5,249.51,Delivered,332,3
SH10216,Bengaluru_Warehouse,Surat,Ecom Express,2025-04-10,2025-04-13,9.1,545.6,Delivered,1006,3
SH10217,Delhi_Warehouse,Chennai,BlueDart,2025-01-29,2025-02-02,12.9,675.31,Delivered,1154,4
SH10218,Ahmedabad_Warehouse,Jaipur,BlueDart,2025-02-05,2025-02-11,11.1,1255.3,Delivered,2497,6
SH10219,Ahmedabad_Warehouse,Bengaluru,DHL,2025-06-13,2025-06-17,12.9,550.7,Delayed,752,4
SH10220,Ahmedabad_Warehouse,Jaipur,FedEx,2025-11-26,2025-11-29,21.5,516.26,delivered,522,3
SH10221,Mumbai_Warehouse,Jaipur,XpressBees,2025-02-16,2025-02-21,9.2,1146.1,Delivered,2368,5
SH10222,Ahmedabad_Warehouse,Delhi,DHL,2025-06-16,2025-06-19,21.6,486.22,Delivered,427,3
SH10223,Pune_Warehouse,Bengaluru,DHL,2025-09-14,2025-09-16,2.3,216.78,Delivered,114,2
SH10224,Bengaluru_Warehouse,Surat,XpressBees,2025-03-15,2025-03-19,9.0,661.03,Delivered,1086,4
SH10225,Bengaluru_Warehouse,Ahmedabad,Delhivery,2025-09-21,2025-09-26,4.4,549.5,Delivered,1033,5
SH10226,Pune_Warehouse,Hyderabad,DHL,2025-04-22,2025-04-27,35.5,994.45,In Transit,1568,5
SH10227,Mumbai_Warehouse,Chennai,BlueDart,2025-10-23,2025-10-29,10.2,1043.95,Delivered,2201,6
SH10228,Ahmedabad_Warehouse,Delhi,Ecom Express,2025-07-31,2025-08-07,26.6,1249.75,Delivered,2336,7
SH10229,Ahmedabad_Warehouse,Nashik,BlueDart,2025-07-19,2025-07-21,3.7,444.37,In Transit,759,2
