Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days,Invalid_Date
SH10055,Bengaluru_Warehouse,Bengaluru,FedEx,7/1/2025,7/6/2025,21.4,1143.4,In Transit,1801,5,FALSE
SH10056,Bengaluru_Warehouse,Hyderabad,FedEx,1/16/2025,1/21/2025,14.3,586.47,Delivered,947,5,FALSE
SH10057,Ahmedabad_Warehouse,Ahmedabad,Delhivery,7/19/2025,7/26/2025,32.7,1154.08,Delayed,1850,7,FALSE
SH10058,Hyderabad_Warehouse,Delhi,FedEx,2/26/2025,3/3/2025,25.2,997.58,Delivered,1860,5,FALSE
SH10059,Delhi_Warehouse,Delhi,XpressBees,9/29/2025,10/4/2025,13.9,679.7,Delayed,1016,5,FALSE
SH10060,Bengaluru_Warehouse,Kolkata,DHL,9/7/2025,9/9/2025,3.3,546.29,In Transit,1038,2,FALSE
SH10061,Pune_Warehouse,Nashik,XpressBees,12/3/2025,12/9/2025,18.5,1175.09,Delivered,2241,6,FALSE
SH10062,Pune_Warehouse,Surat,Delhivery,9/29/2025,10/3/2025,17.4,720.68,Delivered,1427,4,FALSE
SH10063,Hyderabad_Warehouse,Mumbai,DHL,5/14/2025,5/18/2025,2.8,282.58,Delivered,416,4,FALSE
SH10064,Bengaluru_Warehouse,Hyderabad,DHL,12/20/2025,12/26/2025,23.3,1086.45,Delivered,1814,6,FALSE
SH10065,Mumbai_Warehouse,Jaipur,DHL,5/30/2025,6/5/2025,7.2,756.1,Delivered,1495,6,FALSE
SH10066,Delhi_Warehouse,Surat,FedEx,4/29/2025,5/2/2025,33.8,976.62,Delayed,1297,3,FALSE
SH10067,Ahmedabad_Warehouse,Chennai,FedEx,11/27/2025,12/3/2025,16.7,1051.6,In Transit,1827,6,FALSE
SH10068,Bengaluru_Warehouse,Mumbai,Delhivery,5/16/2025,5/23/2025,11.2,1094.6,Delivered,2273,7,FALSE
SH10069,Ahmedabad_Warehouse,Nagpur,FedEx,1/28/2025,1/30/2025,20.3,701.06,Delivered,859,2,FALSE
SH10070,Bengaluru_Warehouse,Delhi,Ecom Express,6/21/2025,6/23/2025,19.5,700.58,Delivered,1077,2,FALSE
SH10071,Mumbai_Warehouse,Kolkata,FedEx,10/18/2025,10/22/2025,19,460.12,Delivered,514,4,FALSE
SH10072,Pune_Warehouse,Chennai,FedEx,3/11/2025,3/16/2025,30.9,1034.79,Delivered,1635,5,FALSE
SH10073,Mumbai_Warehouse,Nashik,FedEx,6/18/2025,6/21/2025,21.2,699.55,Delivered,1037,3,FALSE
SH10074,Hyderabad_Warehouse,Bengaluru,FedEx,2/17/2025,2/20/2025,10.5,397.97,Delivered,889,3,FALSE
SH10075,Hyderabad_Warehouse,Chennai,XpressBees,9/8/2025,9/14/2025,14.6,931.84,Delivered,1757,6,FALSE
SH10076,Delhi_Warehouse,Surat,FedEx,6/23/2025,6/27/2025,41.6,799.58,Delivered,1050,4,FALSE
SH10077,Hyderabad_Warehouse,Jaipur,FedEx,5/1/2025,5/4/2025,9.8,751.71,Delivered,1188,3,FALSE
SH10078,Bengaluru_Warehouse,Nashik,XpressBees,3/24/2025,3/30/2025,23.1,837.34,Delivered,1128,6,FALSE
SH10079,Hyderabad_Warehouse,Bengaluru,Delhivery,7/26/2025,7/30/2025,31.7,683.17,Delivered,683,4,FALSE
SH10080,Hyderabad_Warehouse,Chennai,FedEx,9/2/2025,9/4/2025,24.6,426.34,In Transit,358,2,FALSE
SH10081,Delhi_Warehouse,Jaipur,XpressBees,12/10/2025,12/16/2025,18.6,1055,Delayed,2077,6,FALSE
SH10082,Bengaluru_Warehouse,Nashik,FedEx,6/9/2025,6/12/2025,20.6,334.01,Delivered,274,3,FALSE
SH10083,Pune_Warehouse,Delhi,DHL,2/28/2025,3/2/2025,25.6,759.77,Delivered,846,2,FALSE
SH10084,Hyderabad_Warehouse,Nashik,BlueDart,10/31/2025,11/5/2025,9.7,832.5,Delivered,1686,5,FALSE
SH10085,Ahmedabad_Warehouse,Hyderabad,Ecom Express,8/18/2025,8/19/2025,17.5,255.01,Delivered,371,1,FALSE
SH10086,Pune_Warehouse,Hyderabad,FedEx,9/13/2025,9/18/2025,62.2,1360.88,Delivered,1656,5,FALSE
SH10087,Hyderabad_Warehouse,Ahmedabad,Ecom Express,2/5/2025,2/9/2025,23.5,1137.6,Delivered,1846,4,FALSE
SH10088,Mumbai_Warehouse,Surat,DHL,4/25/2025,4/29/2025,19,1035.84,Delivered,1674,4,FALSE
SH10089,Delhi_Warehouse,Jaipur,Ecom Express,10/8/2025,10/13/2025,13.6,587.45,Delivered,797,5,FALSE
SH10090,Hyderabad_Warehouse,Jaipur,DHL,10/31/2025,11/2/2025,9.8,270.54,Delivered,98,2,FALSE
SH10091,Pune_Warehouse,Bengaluru,BlueDart,6/8/2025,6/14/2025,21.1,1196.34,Delivered,2224,6,FALSE
SH10092,Pune_Warehouse,Jaipur,Delhivery,10/21/2025,10/23/2025,22,509.8,Delivered,850,2,FALSE
SH10093,Delhi_Warehouse,Surat,FedEx,11/4/2025,11/9/2025,16.7,1073.14,Delivered,2023,5,FALSE
SH10094,Mumbai_Warehouse,Mumbai,Delhivery,5/22/2025,5/25/2025,77.8,999.77,Delivered,534,3,FALSE
SH10095,Bengaluru_Warehouse,Bengaluru,Ecom Express,11/24/2025,11/27/2025,10.4,349.12,Delivered,448,3,FALSE
SH10096,Mumbai_Warehouse,Mumbai,Delhivery,4/16/2025,4/20/2025,8.7,965.94,Delivered,1957,4,FALSE
SH10097,Pune_Warehouse,Nashik,BlueDart,3/29/2025,4/5/2025,13.7,1131.68,Delayed,2353,7,FALSE
SH10098,Pune_Warehouse,Mumbai,Ecom Express,9/7/2025,9/13/2025,17,1076.18,In Transit,2159,6,FALSE
SH10099,Ahmedabad_Warehouse,Jaipur,Ecom Express,8/21/2025,8/28/2025,9.4,1055.22,Delivered,1891,7,FALSE
SH10100,Ahmedabad_Warehouse,Chennai,FedEx,2/21/2025,2/23/2025,20.7,633.72,Delayed,654,2,FALSE
SH10101,Mumbai_Warehouse,Surat,Ecom Express,10/31/2025,11/4/2025,480,1229.51,Delivered,2288,4,FALSE
SH10102,Mumbai_Warehouse,Nashik,XpressBees,3/14/2025,3/18/2025,27.6,1038.2,Delivered,1686,4,FALSE
SH10103,Hyderabad_Warehouse,Nagpur,Ecom Express,10/21/2025,10/23/2025,12.2,327.57,Delivered,471,2,FALSE
SH10104,Pune_Warehouse,Delhi,Ecom Express,1/3/2025,1/6/2025,39.4,604.38,Delivered,367,3,FALSE
SH10105,Bengaluru_Warehouse,Delhi,Ecom Express,10/18/2025,10/22/2025,26.4,1318.88,Delivered,2185,4,FALSE
SH10106,Ahmedabad_Warehouse,Jaipur,Ecom Express,10/15/2025,10/18/2025,10.3,387.52,In Transit,724,3,FALSE
SH10107,Mumbai_Warehouse,Nagpur,FedEx,10/12/2025,10/19/2025,9.4,994.75,Delivered,1927,7,FALSE
SH10108,Ahmedabad_Warehouse,Jaipur,Ecom Express,8/31/2025,9/2/2025,14.4,395.43,Delivered,389,2,FALSE
SH10109,Mumbai_Warehouse,Pune,FedEx,6/22/2025,6/26/2025,22.3,608.11,Delivered,737,4,FALSE
SH10110,Pune_Warehouse,Bengaluru,BlueDart,9/15/2025,9/17/2025,24.4,690.23,Delivered,744,2,FALSE
SH10111,Bengaluru_Warehouse,Delhi,XpressBees,4/12/2025,4/14/2025,26.4,726.34,Delivered,738,2,FALSE
SH10112,Ahmedabad_Warehouse,Mumbai,FedEx,10/12/2025,10/18/2025,59.7,1289.87,Delivered,1703,6,FALSE
SH10113,Bengaluru_Warehouse,Mumbai,XpressBees,7/22/2025,7/28/2025,4.2,1114.94,Delivered,2291,6,FALSE
SH10114,Mumbai_Warehouse,Hyderabad,BlueDart,6/17/2025,6/23/2025,16.3,1181.2,Delayed,2281,6,FALSE
SH10115,Pune_Warehouse,Pune,FedEx,7/4/2025,7/8/2025,56.6,1310.47,Delivered,1867,4,FALSE
SH10116,Hyderabad_Warehouse,Nagpur,DHL,7/27/2025,7/30/2025,28.4,565.61,Delivered,546,3,FALSE
SH10117,Bengaluru_Warehouse,Mumbai,Delhivery,1/14/2025,1/19/2025,8.3,1197.16,Delayed,2404,5,FALSE
SH10118,Mumbai_Warehouse,Nashik,BlueDart,2/21/2025,2/27/2025,20,840.69,Delivered,1378,6,FALSE
SH10119,Bengaluru_Warehouse,Surat,Delhivery,3/31/2025,4/7/2025,15.7,747.95,Delivered,1388,7,FALSE
SH10120,Delhi_Warehouse,Nagpur,DHL,2/11/2025,2/17/2025,15.3,927.53,Delivered,1769,6,FALSE
SH10121,Mumbai_Warehouse,Ahmedabad,FedEx,6/10/2025,6/15/2025,12,969.63,Delivered,1935,5,FALSE
SH10122,Pune_Warehouse,Mumbai,DHL,9/1/2025,9/5/2025,18.9,1196.02,Delivered,2385,4,FALSE
SH10123,Ahmedabad_Warehouse,Mumbai,FedEx,8/27/2025,8/30/2025,34.9,1014.23,Delivered,1477,3,FALSE
SH10124,Hyderabad_Warehouse,Kolkata,XpressBees,6/21/2025,6/27/2025,12.8,860.7,Delivered,1545,6,FALSE
SH10125,Mumbai_Warehouse,Chennai,DHL,11/9/2025,11/14/2025,26.5,1147.46,Delivered,1877,5,FALSE
SH10126,Mumbai_Warehouse,Surat,Ecom Express,7/26/2025,7/29/2025,29.5,567.08,Delivered,675,3,FALSE
SH10127,Delhi_Warehouse,Chennai,DHL,1/29/2025,2/2/2025,39.2,719.12,Delivered,804,4,FALSE
SH10128,Delhi_Warehouse,Mumbai,Delhivery,10/7/2025,10/13/2025,9.2,908.56,Delivered,1583,6,FALSE
SH10129,Delhi_Warehouse,Chennai,XpressBees,7/29/2025,7/31/2025,17.9,310.04,Delivered,207,2,FALSE
SH10130,Hyderabad_Warehouse,Hyderabad,BlueDart,8/20/2025,8/23/2025,11,525.86,Delivered,835,3,FALSE
SH10131,Pune_Warehouse,Nagpur,FedEx,7/26/2025,7/31/2025,19,991.65,Delivered,1809,5,FALSE
SH10132,Mumbai_Warehouse,Bengaluru,Delhivery,7/22/2025,7/28/2025,18.9,1328.61,In Transit,2442,6,FALSE
SH10133,Hyderabad_Warehouse,Nagpur,FedEx,2/3/2025,2/7/2025,7.6,764.71,Delivered,1323,4,FALSE
SH10134,Ahmedabad_Warehouse,Kolkata,XpressBees,7/24/2025,7/28/2025,19.7,740.86,Delivered,1029,4,FALSE
SH10135,Pune_Warehouse,Surat,XpressBees,10/18/2025,10/22/2025,620,1079.24,Delivered,1129,4,FALSE
SH10136,Delhi_Warehouse,Ahmedabad,Delhivery,4/21/2025,4/28/2025,24.5,966.45,Delivered,1729,7,FALSE
SH10137,Bengaluru_Warehouse,Delhi,Delhivery,8/9/2025,8/14/2025,6.4,821.57,Delivered,1384,5,FALSE
SH10138,Mumbai_Warehouse,Jaipur,Delhivery,1/12/2025,1/15/2025,8.8,246.42,Delayed,106,3,FALSE
SH10139,Ahmedabad_Warehouse,Hyderabad,Ecom Express,5/7/2025,5/10/2025,17.3,777.75,Delivered,1371,3,FALSE
SH10140,Pune_Warehouse,Nashik,BlueDart,6/9/2025,6/13/2025,9,667.41,Delivered,1030,4,FALSE
SH10141,Bengaluru_Warehouse,Nagpur,XpressBees,12/25/2025,12/30/2025,37.9,1114.83,Delivered,1767,5,FALSE
SH10142,Delhi_Warehouse,Mumbai,BlueDart,3/20/2025,3/26/2025,5.8,1128.37,Delayed,2194,6,FALSE
SH10143,Hyderabad_Warehouse,Bengaluru,DHL,4/11/2025,4/18/2025,24.6,1381.77,Delivered,2408,7,FALSE
SH10144,Pune_Warehouse,Nagpur,Ecom Express,5/30/2025,6/4/2025,4.9,719.87,Delivered,1545,5,FALSE
SH10145,Mumbai_Warehouse,Surat,Delhivery,12/29/2025,1/4/2026,17.1,651.31,Delivered,938,6,FALSE
SH10146,Bengaluru_Warehouse,Jaipur,XpressBees,11/8/2025,11/13/2025,8,668.98,Delayed,1138,5,FALSE
SH10147,Ahmedabad_Warehouse,Surat,BlueDart,1/13/2025,1/17/2025,27.5,660.01,Delivered,482,4,FALSE
SH10148,Bengaluru_Warehouse,Chennai,BlueDart,3/27/2025,4/3/2025,34,1312.23,In Transit,2343,7,FALSE
SH10149,Hyderabad_Warehouse,Nashik,Delhivery,10/27/2025,11/4/2025,22.2,1240.41,Delayed,2126,8,FALSE
SH10150,Delhi_Warehouse,Kolkata,BlueDart,1/22/2025,1/27/2025,35,1278.51,Delivered,2143,5,FALSE
SH10151,Mumbai_Warehouse,Bengaluru,Ecom Express,11/9/2025,11/14/2025,2.2,389.1,Delayed,854,5,FALSE
SH10152,Delhi_Warehouse,Jaipur,BlueDart,4/13/2025,4/15/2025,19.6,592.38,Delivered,839,2,FALSE
SH10153,Ahmedabad_Warehouse,Nashik,Ecom Express,12/1/2025,12/6/2025,24.4,1190.12,Delivered,2149,5,FALSE
SH10154,Hyderabad_Warehouse,Ahmedabad,BlueDart,4/18/2025,4/23/2025,26.4,827.44,Delivered,1384,5,FALSE
SH10155,Hyderabad_Warehouse,Nagpur,FedEx,6/8/2025,6/14/2025,23.5,1043.26,Delayed,1777,6,FALSE
SH10156,Pune_Warehouse,Kolkata,XpressBees,8/30/2025,9/2/2025,26.8,885.48,Delivered,1250,3,FALSE
SH10157,Bengaluru_Warehouse,Surat,Delhivery,2/16/2025,2/20/2025,19.4,734.7,Delivered,1135,4,FALSE
SH10158,Bengaluru_Warehouse,Chennai,Ecom Express,7/23/2025,7/28/2025,6.5,777.03,Delivered,1599,5,FALSE
SH10159,Bengaluru_Warehouse,Ahmedabad,Delhivery,7/4/2025,7/10/2025,11.9,1030.62,Delivered,2042,6,FALSE
SH10160,Ahmedabad_Warehouse,Kolkata,BlueDart,10/14/2025,10/18/2025,38,767.31,Delayed,868,4,FALSE
SH10161,Hyderabad_Warehouse,Pune,XpressBees,12/30/2025,1/8/2026,35.4,1246.71,Delivered,2033,9,FALSE
SH10162,Pune_Warehouse,Surat,BlueDart,8/31/2025,9/3/2025,24.1,618.05,Delivered,648,3,FALSE
SH10163,Pune_Warehouse,Nashik,XpressBees,5/30/2025,6/2/2025,27.9,767.65,Delayed,1037,3,FALSE
SH10164,Bengaluru_Warehouse,Bengaluru,BlueDart,5/29/2025,6/3/2025,32.8,1241.77,Delayed,2286,5,FALSE
SH10165,Ahmedabad_Warehouse,Kolkata,DHL,6/2/2025,6/8/2025,23.9,1255.6,Delivered,2389,6,FALSE
SH10166,Ahmedabad_Warehouse,Nagpur,DHL,10/25/2025,10/30/2025,37.4,1378.91,Delivered,2314,5,FALSE
SH10167,Bengaluru_Warehouse,Kolkata,XpressBees,4/28/2025,5/2/2025,36.6,799.01,Delivered,824,4,FALSE
SH10168,Bengaluru_Warehouse,Nagpur,Delhivery,3/2/2025,3/8/2025,73.4,1664,Delivered,2116,6,FALSE
SH10169,Hyderabad_Warehouse,Jaipur,BlueDart,5/3/2025,5/9/2025,12.3,1266.64,Delivered,2344,6,FALSE
SH10170,Ahmedabad_Warehouse,Nashik,Ecom Express,1/9/2025,1/17/2025,12.5,1221.17,Delivered,2447,8,FALSE
SH10171,Mumbai_Warehouse,Surat,Delhivery,2/8/2025,2/9/2025,22.8,358.2,Delayed,101,1,FALSE
SH10172,Pune_Warehouse,Jaipur,Delhivery,2/2/2025,2/7/2025,54.6,1251.6,Delivered,1875,5,FALSE
SH10173,Delhi_Warehouse,Nagpur,Ecom Express,10/9/2025,10/16/2025,39.2,1483.9,Delayed,2493,7,FALSE
SH10174,Bengaluru_Warehouse,Hyderabad,FedEx,9/21/2025,9/27/2025,30.1,1084.79,Delayed,1924,6,FALSE
SH10175,Pune_Warehouse,Surat,DHL,9/12/2025,9/16/2025,40.9,685.03,Delivered,621,4,FALSE
SH10176,Pune_Warehouse,Hyderabad,Ecom Express,6/18/2025,6/24/2025,24.7,1262.57,Delivered,1919,6,FALSE
SH10177,Mumbai_Warehouse,Nashik,DHL,9/19/2025,9/22/2025,14.5,348.89,Delivered,307,3,FALSE
SH10178,Mumbai_Warehouse,Nashik,Ecom Express,2/28/2025,3/4/2025,63,1083.33,Delivered,1227,4,FALSE
SH10179,Delhi_Warehouse,Nagpur,DHL,11/25/2025,12/1/2025,23.5,967.46,Delivered,1584,6,FALSE
SH10180,Ahmedabad_Warehouse,Nagpur,FedEx,7/2/2025,7/7/2025,36.1,848.97,Delivered,1168,5,FALSE
SH10181,Pune_Warehouse,Nashik,Ecom Express,12/9/2025,12/16/2025,2.2,787.16,Delivered,1765,7,FALSE
SH10182,Pune_Warehouse,Nagpur,Delhivery,2/25/2025,2/26/2025,2.6,485.73,Delivered,638,1,FALSE
SH10183,Pune_Warehouse,Surat,Ecom Express,7/1/2025,7/5/2025,20,953.37,Delivered,1535,4,FALSE
SH10184,Ahmedabad_Warehouse,Ahmedabad,Delhivery,9/12/2025,9/18/2025,9,860.1,Delivered,1630,6,FALSE
SH10185,Bengaluru_Warehouse,Surat,DHL,6/30/2025,7/3/2025,21.2,911.91,Delivered,1603,3,FALSE
SH10186,Bengaluru_Warehouse,Pune,XpressBees,6/12/2025,6/16/2025,12.5,794.255,Delivered,759,4,FALSE
SH10187,Pune_Warehouse,Bengaluru,FedEx,3/2/2025,3/6/2025,80,1180,In Transit,798,4,FALSE
SH10188,Ahmedabad_Warehouse,Ahmedabad,DHL,5/20/2025,5/23/2025,34.3,674.43,Delayed,681,3,FALSE
SH10189,Pune_Warehouse,Bengaluru,XpressBees,3/29/2025,4/2/2025,43.3,774.52,Delayed,1181,4,FALSE
SH10190,Ahmedabad_Warehouse,Pune,FedEx,4/21/2025,4/25/2025,3.1,863.62,Delivered,1486,4,FALSE
SH10191,Ahmedabad_Warehouse,Hyderabad,Delhivery,9/7/2025,9/10/2025,29.9,738.18,Delivered,938,3,FALSE
SH10192,Bengaluru_Warehouse,Bengaluru,BlueDart,8/19/2025,8/22/2025,15.7,675.02,Delivered,1054,3,FALSE
SH10193,Ahmedabad_Warehouse,Nashik,Ecom Express,8/10/2025,8/13/2025,43.9,828.34,Delivered,751,3,FALSE
SH10194,Ahmedabad_Warehouse,Bengaluru,DHL,5/13/2025,5/15/2025,27.2,794.255,Delivered,586,2,FALSE
SH10195,Bengaluru_Warehouse,Hyderabad,DHL,12/17/2025,12/22/2025,17.3,965.75,Delayed,1661,5,FALSE
SH10196,Hyderabad_Warehouse,Kolkata,BlueDart,2/1/2025,2/7/2025,7,977.2,Delivered,2050,6,FALSE
SH10197,Bengaluru_Warehouse,Hyderabad,BlueDart,5/6/2025,5/11/2025,19.7,499.85,Delivered,762,5,FALSE
SH10198,Bengaluru_Warehouse,Bengaluru,Ecom Express,2/13/2025,2/19/2025,37.5,1320.94,In Transit,2159,6,FALSE
SH10199,Delhi_Warehouse,Bengaluru,Delhivery,5/4/2025,5/9/2025,45.4,1153.22,Delivered,1449,5,FALSE
SH10200,Bengaluru_Warehouse,Jaipur,DHL,12/18/2025,12/20/2025,13.8,355.29,Delivered,461,2,FALSE
SH10201,Pune_Warehouse,Delhi,XpressBees,5/14/2025,5/17/2025,72.1,1050.55,Delayed,947,3,FALSE
SH10202,Pune_Warehouse,Kolkata,BlueDart,11/28/2025,11/29/2025,35.7,479.17,Delivered,68,1,FALSE
SH10203,Pune_Warehouse,Hyderabad,XpressBees,6/30/2025,7/1/2025,9.1,193.52,Delivered,146,1,FALSE
SH10204,Mumbai_Warehouse,Hyderabad,XpressBees,9/13/2025,9/15/2025,7.6,488.68,Delivered,873,2,FALSE
SH10205,Ahmedabad_Warehouse,Mumbai,DHL,6/16/2025,6/20/2025,16.4,687.34,Delayed,1163,4,FALSE
SH10206,Pune_Warehouse,Kolkata,Delhivery,4/8/2025,4/15/2025,13.8,1035.41,Delivered,2004,7,FALSE
SH10207,Hyderabad_Warehouse,Hyderabad,BlueDart,10/6/2025,10/7/2025,24.8,363.43,Delivered,379,1,FALSE
SH10208,Delhi_Warehouse,Pune,BlueDart,12/20/2025,12/25/2025,18.3,1090.41,Delivered,2106,5,FALSE
SH10209,Delhi_Warehouse,Nashik,FedEx,4/7/2025,4/9/2025,14.7,479.7,Delivered,624,2,FALSE
SH10210,Pune_Warehouse,Bengaluru,Delhivery,10/12/2025,10/14/2025,5.1,299.01,Delayed,389,2,FALSE
SH10211,Hyderabad_Warehouse,Chennai,BlueDart,4/6/2025,4/12/2025,27.7,1120.44,Delivered,1765,6,FALSE
SH10212,Bengaluru_Warehouse,Pune,FedEx,9/19/2025,9/24/2025,4.8,1039.71,Delivered,1947,5,FALSE
